Row,01,02,03,04,05,06,07,08,09,10,11,12
A,120364.0,112997.0,96192.0,63676.0,42611.0,37757.0,38816.0,34656.0,32367.0,30728.0,36832.0,35976.0
B,40654.0,40021.0,37777.0,38635.0,35754.0,36049.0,39480.0,37621.0,35101.0,35465.0,35359.0,37946.0
C,37044.0,36700.0,36007.0,36441.0,36984.0,37822.0,34305.0,33228.0,33733.0,34981.0,40471.0,34895.0
D,33242.0,32695.0,37256.0,35466.0,35450.0,32598.0,55780.0,39837.0,39440.0,39320.0,36931.0,34792.0
E,35155.0,36861.0,38018.0,45814.0,38628.0,44583.0,49678.0,53145.0,44156.0,43237.0,34188.0,37189.0
F,35627.0,39186.0,44148.0,46754.0,35501.0,51360.0,43468.0,51063.0,36422.0,38541.0,36131.0,36128.0
G,35774.0,36655.0,39092.0,40596.0,43009.0,47889.0,48112.0,47066.0,48407.0,35620.0,38995.0,33546.0
H,36187.0,36908.0,39213.0,32616.0,33534.0,34742.0,32536.0,34515.0,34647.0,29752.0,34682.0,34339.0
